Subject,CreditValues
Secretary/administrator,a
Lawyer,j
"Nurse, learning disability",v
Magazine journalist,L
Building services engineer,g
Multimedia specialist,H
Ranger/warden,M
Educational psychologist,r
Psychiatrist,o
IT sales professional,q
Maintenance engineer,f
Pensions consultant,j
Adult nurse,c
"Embryologist, clinical",r
Psychiatric nurse,F
Clinical psychologist,V
Building services engineer,U
Media buyer,d
"Surveyor, hydrographic",e
Secretary/administrator,K
Corporate treasurer,s
English as a second language teacher,o
Town planner,S
Lexicographer,s
"Engineer, control and instrumentation",Z
Public relations account executive,V
Acupuncturist,W
Medical secretary,Z
"Geneticist, molecular",q
"Production assistant, television",C
"Conservation officer, historic buildings",A
"Scientist, biomedical",h
Television production assistant,E
Tour manager,a
Barrister's clerk,n
Media planner,d
Print production planner,U
Dispensing optician,s
"Designer, blown glass/stained glass",I
Copy,x
"Surveyor, insurance",g
Sports therapist,K
Mental health nurse,e
Toxicologist,q
Financial manager,m
Marine scientist,B
Art therapist,N
Systems analyst,e
Futures trader,A
Retail buyer,x
Public librarian,d
Air broker,z
General practice doctor,Y
Clinical embryologist,j
"Teacher, adult education",c
General practice doctor,P
Theatre director,r
Science writer,r
"Clinical scientist, histocompatibility and immunogenetics",f
Naval architect,l
"Designer, interior/spatial",C
Music therapist,N
Personal assistant,a
Clinical molecular geneticist,y
"Civil engineer, consulting",P
Graphic designer,v
Archivist,g
"Designer, fashion/clothing",i
Museum/gallery conservator,p
Tourist information centre manager,K
Magazine journalist,c
Public librarian,i
"Clinical scientist, histocompatibility and immunogenetics",Z
Hydrologist,Y
Games developer,h
Interior and spatial designer,e
Counsellor,W
Civil Service administrator,j
"Engineer, aeronautical",U
Interpreter,b
"Surveyor, insurance",v
"Engineer, electronics",Q
"Restaurant manager, fast food",I
Dispensing optician,B
"Nurse, adult",T
Environmental manager,P
Dramatherapist,o
Public house manager,Q
Film/video editor,L
Stage manager,j
Visual merchandiser,C
Colour technologist,Q
Fast food restaurant manager,m
Garment/textile technologist,y
"Designer, jewellery",L
Landscape architect,a
"Designer, multimedia",v
Personnel officer,o
Tourism officer,B
Training and development officer,f
Advertising copywriter,O
Nutritional therapist,h
"Optician, dispensing",k
"Librarian, public",U
"Engineer, mining",j
Paramedic,v
Speech and language therapist,h
Restaurant manager,g
Clinical embryologist,e
Architect,k
Fast food restaurant manager,Y
"Therapist, nutritional",f
"Horticulturist, amenity",a
"Engineer, mining",t
Tax inspector,s
"Psychologist, clinical",K
"Development worker, international aid",g
Statistician,n
Historic buildings inspector/conservation officer,P
"Engineer, manufacturing systems",o
"Teacher, early years/pre",n
"Therapist, horticultural",g
"Engineer, drilling",f
"Production designer, theatre/television/film",M
Naval architect,g
"Research officer, government",N
"Exhibitions officer, museum/gallery",a
Television floor manager,X
"Production designer, theatre/television/film",h
Patent examiner,b
Energy engineer,G
"Conservator, furniture",d
"Designer, fashion/clothing",T
Animator,Z
"Production assistant, television",l
Quantity surveyor,P
Video editor,i
"Engineer, broadcasting (operations)",h
Paramedic,T
Furniture designer,b
Psychotherapist,G
"Surveyor, building",K
Metallurgist,m
Multimedia programmer,K
Equality and diversity officer,u
"Investment banker, corporate",E
Water engineer,T
"Education officer, community",w
Further education lecturer,n
"Therapist, occupational",F
Tax inspector,t
Advertising copywriter,r
"Conservation officer, historic buildings",X
Insurance account manager,K
Information systems manager,j
"Secretary, company",o
Environmental manager,U
Television camera operator,U
Merchant navy officer,A
Network engineer,a
Biomedical engineer,P
Building control surveyor,Q
Microbiologist,a
"Optician, dispensing",e
Research scientist (life sciences),U
Musician,v
Social researcher,F
Exercise physiologist,I
"Administrator, education",r
"Lecturer, higher education",L
Call centre manager,U
Consulting civil engineer,z
Equities trader,G
"Therapist, sports",S
Aid worker,D
Phytotherapist,O
Operations geologist,c
Production engineer,v
Planning and development surveyor,a
"Engineer, structural",u
Dramatherapist,U
Actor,g
"Engineer, mining",z
"Geologist, wellsite",B
"Production assistant, television",J
Financial planner,A
"Psychologist, occupational",q
Analytical chemist,J
Mining engineer,q
Aeronautical engineer,P
Television camera operator,K
Transport planner,s
"Engineer, energy",M
Primary school teacher,R
Education administrator,O
"Merchandiser, retail",A
Chartered accountant,Y
Arboriculturist,p
Economist,T
Toxicologist,p
Environmental consultant,l
Furniture designer,F
Tourism officer,a
Prison officer,r
Commissioning editor,l
Bookseller,H
"Surveyor, land/geomatics",m
"Scientist, research (life sciences)",P
"Psychologist, educational",l
Sport and exercise psychologist,G
"Surveyor, quantity",U
"Scientist, physiological",U
Warehouse manager,I
Armed forces technical officer,B
Logistics and distribution manager,g
Museum/gallery curator,r
Private music teacher,d
"Conservation officer, nature",s
"Scientist, marine",v
Government social research officer,Y
Child psychotherapist,V
"Scientist, biomedical",n
Make,s
Systems analyst,l
Field seismologist,s
Dietitian,l
"Therapist, sports",w
Management consultant,P
General practice doctor,V
Agricultural consultant,b
Water quality scientist,I
Speech and language therapist,Q
"Designer, furniture",i
"Production assistant, television",k
Management consultant,r
Television production assistant,I
Health physicist,l
Ergonomist,h
Clinical cytogeneticist,L
"Engineer, drilling",i
"Teacher, secondary school",l
Orthoptist,G
Dealer,R
Sales promotion account executive,s
Operational investment banker,s
Veterinary surgeon,o
"Therapist, occupational",y
Cabin crew,w
Statistician,x
Exercise physiologist,O
"Production assistant, television",C
Medical laboratory scientific officer,V
Industrial buyer,n
Oncologist,R
Records manager,I
"Engineer, mining",p
Air traffic controller,T
Volunteer coordinator,T
Seismic interpreter,E
"Investment banker, corporate",D
"Engineer, agricultural",L
Housing manager/officer,f
"Psychologist, forensic",S
Technical sales engineer,c
Media buyer,W
"Presenter, broadcasting",J
Nutritional therapist,A
Community pharmacist,X
"Engineer, communications",g
Ecologist,K
"Surveyor, quantity",v
"Physicist, medical",r
"Librarian, academic",C
"Investment banker, corporate",w
Proofreader,X
"Surveyor, mining",R
Bookseller,i
Drilling engineer,W
Social researcher,X
Visual merchandiser,g
Forensic scientist,e
Exercise physiologist,k
Armed forces training and education officer,K
Bookseller,b
Communications engineer,n
Primary school teacher,b
Immigration officer,X
"Conservator, furniture",v
Theatre manager,i
Barrister,p
Fine artist,V
Clinical biochemist,W
IT consultant,A
Corporate treasurer,z
Logistics and distribution manager,G
Writer,C
Landscape architect,N
Secretary/administrator,s
Control and instrumentation engineer,w
Metallurgist,r
Drilling engineer,X
Health visitor,d
Games developer,y
"Teacher, English as a foreign language",N
"Geologist, wellsite",A
Geophysicist/field seismologist,S
Media buyer,Z
Conference centre manager,D
"Surveyor, planning and development",Z
"Accountant, chartered",S
Patent attorney,N
Media buyer,K
Microbiologist,L
"Surveyor, insurance",J
Occupational hygienist,k
Medical physicist,P
Aeronautical engineer,z
Manufacturing engineer,I
Television production assistant,e
Secondary school teacher,T
Solicitor,E
Passenger transport manager,u
Production manager,F
Marketing executive,k
Local government officer,E
Meteorologist,t
Ranger/warden,G
"Engineer, drilling",X
Network engineer,Q
Retail buyer,b
Charity fundraiser,V
Call centre manager,W
"Designer, jewellery",h
"Lecturer, further education",I
"Scientist, research (physical sciences)",w
Investment analyst,M
"Lecturer, further education",X
Multimedia programmer,b
Radiation protection practitioner,d
Marketing executive,n
Armed forces logistics/support/administrative officer,o
Haematologist,Y
Water engineer,U
"Radiographer, therapeutic",S
"Journalist, broadcasting",z
Electrical engineer,x
"Surveyor, rural practice",a
Landscape architect,Q
Geophysicist/field seismologist,W
Counsellor,r
Architectural technologist,D
"Engineer, maintenance (IT)",h
"Sales professional, IT",v
Pharmacologist,B
Medical technical officer,l
Hydrographic surveyor,q
Careers adviser,a
"Engineer, electrical",R
Geochemist,D
"Education officer, community",Q
Podiatrist,S
Television/film/video producer,v
"Production designer, theatre/television/film",D
Hydrogeologist,j
Bookseller,O
"Psychologist, forensic",U
Materials engineer,d
"Administrator, arts",W
Ranger/warden,G
"Engineer, civil (consulting)",X
Social worker,q
"Runner, broadcasting/film/video",f
Bonds trader,g
Futures trader,Y
Applications developer,R
Company secretary,E
Architectural technologist,Z
"Therapist, music",b
Educational psychologist,K
Technical brewer,m
Geographical information systems officer,B
Metallurgist,d
Museum/gallery conservator,Q
Event organiser,b
Health visitor,i
Training and development officer,N
Clinical psychologist,J
"Engineer, electronics",v
Television production assistant,M
Financial trader,b
Personal assistant,B
Chartered certified accountant,H
Podiatrist,s
Housing manager/officer,O
Planning and development surveyor,Q
Food technologist,U
Patent attorney,u
"Surveyor, hydrographic",X
Tax adviser,o
"Lecturer, higher education",V
Sports therapist,P
Special effects artist,K
"Engineer, civil (consulting)",N
International aid/development worker,m
Patent attorney,l
"Solicitor, Scotland",d
Phytotherapist,W
"Designer, television/film set",U
Medical secretary,i
"Psychologist, counselling",f
"Geologist, engineering",l
Nature conservation officer,g
Clinical biochemist,V
Translator,z
Psychotherapist,a
Waste management officer,G
Health physicist,Y
"Journalist, newspaper",X
Horticultural consultant,I
Public relations account executive,T
Fisheries officer,r
"Surveyor, minerals",t
Tax adviser,Q
Research scientist (maths),c
Petroleum engineer,z
Proofreader,N
"Pharmacist, community",u
Retail buyer,R
Astronomer,g
Furniture conservator/restorer,K
Music tutor,W
Community pharmacist,K
Medical illustrator,P
Fish farm manager,l
Human resources officer,A
"Administrator, sports",M
Print production planner,k
Medical technical officer,c
Cabin crew,X
Equality and diversity officer,Z
Equality and diversity officer,e
IT technical support officer,G
TEFL teacher,l
Biomedical scientist,D
"Pharmacist, community",q
Futures trader,F
Forest/woodland manager,p
Air traffic controller,e
Chiropractor,L
Medical physicist,B
Technical author,o
Market researcher,G
Media planner,T
Financial manager,o
Marine scientist,y
Camera operator,Z
Theme park manager,c
"Engineer, electronics",p
Tour manager,a
Insurance risk surveyor,v
Private music teacher,L
"Biochemist, clinical",J
"Lecturer, higher education",w
Intelligence analyst,l
Forensic scientist,d
Youth worker,E
Horticultural consultant,S
"Conservator, furniture",r
Fast food restaurant manager,n
Cytogeneticist,D
Commercial horticulturist,S
Psychiatric nurse,x
Estate agent,Q
"Scientist, physiological",s
Clinical psychologist,M
Stage manager,i
"Scientist, audiological",r
Newspaper journalist,z
"Therapist, sports",q
Occupational therapist,H
Special educational needs teacher,y
Careers information officer,L
Biomedical engineer,w
"Programmer, multimedia",t
Cabin crew,A
Public house manager,F
Acupuncturist,y
Physiotherapist,z
Biomedical scientist,F
Research scientist (physical sciences),y
Investment analyst,j
Travel agency manager,g
Health promotion specialist,f
Leisure centre manager,g
Surgeon,k
Animal nutritionist,A
Mudlogger,S
"Engineer, agricultural",F
Public librarian,w
Marketing executive,A
"Runner, broadcasting/film/video",B
"Engineer, maintenance (IT)",j
"Lighting technician, broadcasting/film/video",O
Operations geologist,e
"Administrator, charities/voluntary organisations",X
Mudlogger,t
Site engineer,m
"Surveyor, land/geomatics",S
Telecommunications researcher,c
Theatre manager,s
Proofreader,M
"Engineer, aeronautical",X
Clinical psychologist,U
"Doctor, general practice",c
Fine artist,u
Futures trader,J
Bookseller,P
Mechanical engineer,C
Music tutor,B
Careers adviser,h
Gaffer,L
Occupational hygienist,R
Furniture conservator/restorer,v
Biomedical scientist,Q
Hydrogeologist,b
Ophthalmologist,M
"Production assistant, television",G
Amenity horticulturist,N
Advertising account planner,R
Control and instrumentation engineer,n
"Therapist, horticultural",j
"Engineer, electronics",H
Operations geologist,e
"Sound technician, broadcasting/film/video",i
Broadcast journalist,v
"Engineer, automotive",t
Biomedical engineer,u
"Engineer, drilling",w
Intelligence analyst,S
Immunologist,q
Youth worker,M
Occupational therapist,J
"Surveyor, rural practice",y
Structural engineer,x
Television floor manager,p
"Development worker, community",Q
Travel agency manager,R
"Investment banker, operational",O
IT trainer,o
"Teacher, primary school",j
Special educational needs teacher,a
"Designer, exhibition/display",Y
"Administrator, education",e
"Programmer, applications",r
Outdoor activities/education manager,V
"Production assistant, radio",B
Insurance claims handler,h
Warden/ranger,T
Senior tax professional/tax inspector,k
Music therapist,w
"Psychologist, prison and probation services",T
"Teacher, primary school",o
Lawyer,t
Arts administrator,S
Newspaper journalist,H
Tourist information centre manager,b
Ranger/warden,S
Plant breeder/geneticist,T
"Therapist, music",J
Product/process development scientist,o
Air traffic controller,s
"Psychotherapist, dance movement",a
"Surveyor, land/geomatics",g
"Engineer, production",s
Waste management officer,k
Tax adviser,t
IT consultant,P
Research scientist (maths),E
Trading standards officer,z
Dancer,i
"Scientist, water quality",P
Commissioning editor,b
Hydrogeologist,d
"Scientist, product/process development",N
Corporate treasurer,O
IT trainer,n
Licensed conveyancer,A
"Engineer, maintenance",N
Sport and exercise psychologist,s
Armed forces training and education officer,K
Photographer,A
Local government officer,y
Dancer,p
Photographer,I
Toxicologist,u
Educational psychologist,m
Fitness centre manager,L
"Librarian, public",w
Lawyer,c
Insurance risk surveyor,H
Software engineer,D
Seismic interpreter,C
Public affairs consultant,V
"Copywriter, advertising",P
Museum education officer,y
Glass blower/designer,C
"Optician, dispensing",I
"Programme researcher, broadcasting/film/video",h
Marketing executive,k
"Engineer, automotive",m
"Accountant, chartered management",A
Technical brewer,C
Cabin crew,E
Child psychotherapist,y
Dramatherapist,y
Photographer,i
"Copywriter, advertising",a
Licensed conveyancer,e
Printmaker,L
Community development worker,z
Air broker,c
Production engineer,b
"Civil engineer, consulting",b
Operational investment banker,F
Textile designer,r
Ergonomist,C
"Engineer, civil (contracting)",O
Lexicographer,a
"Research officer, government",V
Marketing executive,t
Hospital pharmacist,h
Mental health nurse,V
Architectural technologist,R
Trade union research officer,j
Further education lecturer,V
Microbiologist,Q
Statistician,u
"Conservation officer, historic buildings",J
Theatre director,X
"Designer, graphic",y
"Teacher, secondary school",p
Special educational needs teacher,F
Theatre director,w
Naval architect,p
"Conservation officer, historic buildings",Z
"Therapist, nutritional",G
"Scientist, forensic",V
Youth worker,w
Restaurant manager,L
"Designer, interior/spatial",M
Social researcher,y
Chartered management accountant,D
Illustrator,s
Environmental consultant,y
"Education officer, environmental",X
Art gallery manager,e
"Conservator, museum/gallery",V
Toxicologist,J
Technical author,f
"Therapist, horticultural",Y
"Engineer, petroleum",O
IT consultant,G
Farm manager,q
Sports coach,C
Conference centre manager,Y
Farm manager,s
Sales executive,g
"Engineer, water",N
Medical illustrator,z
Sports coach,q
"Lecturer, higher education",X
Community arts worker,o
Geophysicist/field seismologist,v
Armed forces training and education officer,U
Risk manager,S
Patent examiner,v
Dancer,R
"Accountant, chartered certified",F
Physiological scientist,P
Corporate treasurer,n
Field trials officer,U
Merchant navy officer,P
"Surveyor, insurance",X
Estate agent,E
Recruitment consultant,q
Theme park manager,P
Field trials officer,q
Forensic scientist,b
"Scientist, research (life sciences)",F
"Buyer, industrial",F
Hydrogeologist,M
"Engineer, chemical",J
Civil Service fast streamer,H
Hydrographic surveyor,H
"Engineer, aeronautical",y
"Embryologist, clinical",S
Radiation protection practitioner,w
Scientific laboratory technician,t
Photographer,V
"Accountant, chartered management",E
Engineering geologist,d
Mudlogger,Y
Museum/gallery conservator,u
"Sound technician, broadcasting/film/video",b
Chartered legal executive (England and Wales),J
Sports therapist,s
IT technical support officer,Q
"Engineer, aeronautical",r
Optometrist,O
Advertising account planner,J
"Designer, multimedia",h
"Clinical scientist, histocompatibility and immunogenetics",o
Diplomatic Services operational officer,b
Marketing executive,t
Aeronautical engineer,T
Restaurant manager,I
Occupational psychologist,f
"Engineer, land",J
"Engineer, aeronautical",Y
Electrical engineer,J
Warden/ranger,b
Metallurgist,I
Secondary school teacher,i
Interpreter,m
"Optician, dispensing",j
"Therapist, nutritional",O
Holiday representative,B
Warehouse manager,s
